n_enemies,n_friends,num_dims,mean,std
1.0,1.0,2.0,0.7444736842105264,0.017768517709889266
2.0,1.0,2.0,0.7482894736842105,0.007559780222222743
5.0,1.0,2.0,0.7388157894736841,0.011215127545978951
1.0,2.0,2.0,0.7435526315789474,0.012094531856629474
2.0,2.0,2.0,0.7513157894736843,0.01327578763750466
5.0,2.0,2.0,0.7394736842105264,0.012729880655208225
1.0,5.0,2.0,0.7474999999999999,0.021535980972648854
2.0,5.0,2.0,0.7481578947368421,0.01844171773204943
5.0,5.0,2.0,0.7376315789473685,0.009937477678157476
1.0,1.0,3.0,0.8161842105263156,0.01044458401182427
2.0,1.0,3.0,0.8165789473684211,0.014161709523235479
5.0,1.0,3.0,0.8148684210526316,0.009078947368421058
1.0,2.0,3.0,0.8140789473684211,0.012315817588811808
2.0,2.0,3.0,0.8184210526315789,0.015082873558849578
5.0,2.0,3.0,0.8146052631578946,0.009330979290258628
1.0,5.0,3.0,0.8128947368421052,0.014339087079816099
2.0,5.0,3.0,0.8180263157894736,0.011915706945966784
5.0,5.0,3.0,0.8144736842105262,0.010209034074353071
1.0,1.0,5.0,0.8400000000000001,0.011352449794801574
2.0,1.0,5.0,0.8415789473684212,0.009363393091924844
5.0,1.0,5.0,0.8335526315789477,0.011368451510680454
1.0,2.0,5.0,0.8386842105263158,0.011488884185759515
2.0,2.0,5.0,0.8378947368421054,0.009825344580312876
5.0,2.0,5.0,0.8310526315789474,0.008093977104857727
1.0,5.0,5.0,0.8396052631578946,0.011233636914995522
2.0,5.0,5.0,0.8348684210526317,0.007878272305222483
5.0,5.0,5.0,0.8311842105263159,0.009059857886895797
1.0,1.0,-1.0,0.8594736842105263,0.008233940972190533
2.0,1.0,-1.0,0.8594736842105263,0.008233940972190533
5.0,1.0,-1.0,0.8594736842105263,0.008233940972190533
1.0,2.0,-1.0,0.8594736842105263,0.008233940972190533
2.0,2.0,-1.0,0.8594736842105263,0.008233940972190533
5.0,2.0,-1.0,0.8594736842105263,0.008233940972190533
1.0,5.0,-1.0,0.8594736842105263,0.008233940972190533
2.0,5.0,-1.0,0.8594736842105263,0.008233940972190533
5.0,5.0,-1.0,0.8594736842105263,0.008233940972190533
