n_enemies,n_friends,num_dims,mean,std
1.0,1.0,2.0,0.8426315789473684,0.009528351047490339
2.0,1.0,2.0,0.8435526315789472,0.006616995242463237
5.0,1.0,2.0,0.8401315789473685,0.008870607258254308
1.0,2.0,2.0,0.8434210526315791,0.00793847533105177
2.0,2.0,2.0,0.845,0.007508075061940602
5.0,2.0,2.0,0.8396052631578946,0.009218981081896501
1.0,5.0,2.0,0.845657894736842,0.009452644766137806
2.0,5.0,2.0,0.845921052631579,0.0050773108898881
5.0,5.0,2.0,0.839078947368421,0.00652742987095393
1.0,1.0,3.0,0.8690789473684211,0.006036878814186565
2.0,1.0,3.0,0.8705263157894736,0.0065314071821004635
5.0,1.0,3.0,0.8698684210526316,0.007047769337285277
1.0,2.0,3.0,0.8678947368421053,0.006636589585746562
2.0,2.0,3.0,0.8698684210526315,0.006322638829859982
5.0,2.0,3.0,0.8701315789473684,0.007208076802527544
1.0,5.0,3.0,0.8669736842105265,0.0065114963324518875
2.0,5.0,3.0,0.8694736842105263,0.006332215481850498
5.0,5.0,3.0,0.8694736842105264,0.007031783797835466
1.0,1.0,5.0,0.8760526315789475,0.0063322154818504965
2.0,1.0,5.0,0.8773684210526316,0.007056361935679963
5.0,1.0,5.0,0.878157894736842,0.0072833434226831925
1.0,2.0,5.0,0.8751315789473685,0.005471216549024142
2.0,2.0,5.0,0.8768421052631579,0.0071635039941137894
5.0,2.0,5.0,0.8773684210526316,0.006806587977040836
1.0,5.0,5.0,0.8742105263157894,0.004930261577682942
2.0,5.0,5.0,0.875263157894737,0.006678198705499763
5.0,5.0,5.0,0.8767105263157895,0.0060023656462932
1.0,1.0,-1.0,0.8911842105263158,0.007785427469729996
2.0,1.0,-1.0,0.8911842105263158,0.007785427469729996
5.0,1.0,-1.0,0.8911842105263158,0.007785427469729996
1.0,2.0,-1.0,0.8911842105263158,0.007785427469729996
2.0,2.0,-1.0,0.8911842105263158,0.007785427469729996
5.0,2.0,-1.0,0.8911842105263158,0.007785427469729996
1.0,5.0,-1.0,0.8911842105263158,0.007785427469729996
2.0,5.0,-1.0,0.8911842105263158,0.007785427469729996
5.0,5.0,-1.0,0.8911842105263158,0.007785427469729996
