centroids_num,initial_transform,num_dims,mean,std
2.0,0.0,2.0,0.7951315789473685,0.026669011034991294
2.0,1.0,2.0,0.7792105263157896,0.02411020404430814
3.0,0.0,2.0,0.7722368421052632,0.037394588688176474
3.0,1.0,2.0,0.8171052631578947,0.041886768615417826
5.0,0.0,2.0,0.8077631578947371,0.046189458391303895
5.0,1.0,2.0,0.828684210526316,0.021635036220070614
2.0,0.0,3.0,0.8196052631578947,0.027096638893692702
2.0,1.0,3.0,0.7907894736842104,0.027943106028414898
3.0,0.0,3.0,0.7980263157894736,0.03724985824212183
3.0,1.0,3.0,0.8090789473684209,0.03486444863171299
5.0,0.0,3.0,0.7961842105263159,0.03719962804746582
5.0,1.0,3.0,0.8353947368421053,0.01939573660209763
2.0,0.0,5.0,0.8239473684210525,0.014708619592086452
2.0,1.0,5.0,0.7839473684210525,0.015677232640638396
3.0,0.0,5.0,0.812763157894737,0.047787075351365886
3.0,1.0,5.0,0.803421052631579,0.03220970931196397
5.0,0.0,5.0,0.8135526315789473,0.029209637255317944
5.0,1.0,5.0,0.8105263157894737,0.024118819447135984
2.0,0.0,-1.0,0.8336842105263157,0.01798545118404396
2.0,1.0,-1.0,0.8073684210526315,0.01729850361004715
3.0,0.0,-1.0,0.8375,0.01535870727622204
3.0,1.0,-1.0,0.8205263157894738,0.030046132581457025
5.0,0.0,-1.0,0.835657894736842,0.0105829070882094
5.0,1.0,-1.0,0.8109210526315789,0.0194723505944488
