centroids_num,initial_transform,num_dims,mean,std
1.0,0.0,2.0,0.8602631578947368,0.015126429329684119
1.0,1.0,2.0,0.8655263157894737,0.008359147460141356
3.0,0.0,2.0,0.8572368421052632,0.02061426838240513
3.0,1.0,2.0,0.8588157894736842,0.017236842105263175
5.0,0.0,2.0,0.8588157894736843,0.012703332387197168
5.0,1.0,2.0,0.8752631578947367,0.015765332421842283
1.0,0.0,3.0,0.8713157894736842,0.014314918704167519
1.0,1.0,3.0,0.871842105263158,0.009270481554636056
3.0,0.0,3.0,0.866842105263158,0.013996932786286527
3.0,1.0,3.0,0.8586842105263157,0.01124518979959027
5.0,0.0,3.0,0.8622368421052633,0.017246883374963277
5.0,1.0,3.0,0.8751315789473685,0.016617019776734562
1.0,0.0,5.0,0.8660526315789474,0.011300479238728378
1.0,1.0,5.0,0.871842105263158,0.009920040434195124
3.0,0.0,5.0,0.8625000000000002,0.02136487201535939
3.0,1.0,5.0,0.8593421052631578,0.011760685010294147
5.0,0.0,5.0,0.8648684210526316,0.01640309831553266
5.0,1.0,5.0,0.8673684210526316,0.016991524691955726
1.0,0.0,-1.0,0.8836842105263157,0.015481648505350231
1.0,1.0,-1.0,0.8725000000000002,0.009766136586322898
3.0,0.0,-1.0,0.8760526315789473,0.013531536981244676
3.0,1.0,-1.0,0.8676315789473685,0.014331840846515898
5.0,0.0,-1.0,0.8746052631578948,0.004444564672119598
5.0,1.0,-1.0,0.8661842105263157,0.010914709635468676
