n_neighbors,num_dims,mean,std
1.0,2.0,0.8439473684210526,0.010127306002575717
3.0,2.0,0.8457894736842105,0.012070889411768116
5.0,2.0,0.8482894736842106,0.009230242056471365
1.0,3.0,0.8755263157894737,0.011712743728562033
3.0,3.0,0.8796052631578947,0.0077004604675787085
5.0,3.0,0.8807894736842105,0.009937477678157496
1.0,5.0,0.8889473684210527,0.009797110773150663
3.0,5.0,0.8936842105263159,0.007438575802685557
5.0,5.0,0.8949999999999999,0.005450609257160009
1.0,-1.0,0.9011842105263158,0.007096729768506207
3.0,-1.0,0.9007894736842106,0.005102820902543503
5.0,-1.0,0.9013157894736843,0.00367480001151817
